,,,,,close orice,gain and loss,Balance Before Variation,Margin call,Balance including,Balance after Withdrawals,1 = Marigin Call,1 = Incentive to Walk
,daily STD,,,,,,Margin and Withdrawals,, Any Variation Margin Due,Including Variation Margin Due,0 = No Margin Call,
initial Margin,2103.609783,6920.776715,6921,,,,,,,,,
maintenance Margin,1577.707337,5190.582536,5191,,,,,,,,157,
,,,,,,,,,,,,
,,,,,72.15,400,7321,0,7321,6921,0,
,,,,,72.45,300,7221,0,7221,6921,0,
,,,,,72.68,230,7151,0,7151,6921,0,
,,,,,72.29,-390,6531,0,6531,6531,0,
,,,,,71.82,-470,6061,0,6061,6061,0,
,,,,,71.43,-390,5671,0,5671,5671,0,
,,,,,72.05,620,6291,0,6291,6291,0,
,,,,,72.56,510,6801,0,6801,6801,0,
,,,,,71.07,-1490,5311,0,5311,5311,0,
,,,,,70.96,-110,5201,0,5201,5201,1,
,,,,,70.55,-410,4791,2130,6921,6921,0,
,,,,,71.96,1410,8331,0,8331,6921,0,
,,,,,72.78,820,7741,0,7741,6921,0,
,,,,,72.87,90,7011,0,7011,6921,0,
,,,,,72.65,-220,6701,0,6701,6701,0,
,,,,,72.94,290,6991,0,6991,6921,0,
,,,,,73.36,420,7341,0,7341,6921,0,
,,,,,73.81,450,7371,0,7371,6921,0,
,,,,,73.50,-310,6611,0,6611,6611,0,
,,,,,73.37,-130,6481,0,6481,6481,0,
,,,,,73.64,270,6751,0,6751,6751,0,
,,,,,72.62,-1020,5731,0,5731,5731,1,
,,,,,71.25,-1370,4361,2560,6921,6921,0,
,,,,,72.00,750,7671,0,7671,6921,0,
,,,,,71.70,-300,6621,0,6621,6621,0,
,,,,,70.98,-720,5901,0,5901,5901,0,
,,,,,70.95,-30,5871,0,5871,5871,0,
,,,,,70.84,-110,5761,0,5761,5761,0,
,,,,,71.59,750,6511,0,6511,6511,0,
,,,,,70.63,-960,5551,0,5551,5551,0,
,,,,,71.18,550,6101,0,6101,6101,0,
,,,,,70.61,-570,5531,0,5531,5531,0,
,,,,,71.35,740,6271,0,6271,6271,0,
,,,,,71.65,300,6571,0,6571,6571,0,
,,,,,72.15,500,7071,0,7071,6921,0,
,,,,,71.97,-180,6741,0,6741,6741,1,
